Source: IEA Gas Information https://www.iea.org/data-and-statistics/data-product/natural-gas-information
This data is released under a CC BY 4.0 licence: https://www.iea.org/terms/creative-commons-cc-licenses

,Non-energy use,Transport Sector,Industry Sector,Commercial and Public Services,Residential,Agriculture/Forestry,Fishing,Non-specified (Other),Units
1990,4143147,2633646,16863791,5268227,12925289,349597,72,1768166,TJ gross
1991,4173975,2709249,16467894,5525128,13697111,370196,76,1795026,TJ gross
1992,4315630,2740505,15944196,5482848,13804171,317767,77,1799165,TJ gross
1993,4325423,2766877,15704411,5667730,15048183,317835,81,1716231,TJ gross
1994,4169028,2740567,15913682,5862700,14836227,291696,85,1588601,TJ gross
1995,4009702,2740371,17256800,6207784,15514466,296446,84,693848,TJ gross
1996,4009255,2762510,17749453,6440099,17106387,319347,78,693134,TJ gross
1997,4300606,2575813,18174933,6557548,16353310,290482,77,654717,TJ gross
1998,4395412,2796600,18010561,6345680,16003119,271124,74,664830,TJ gross
1999,4521209,2822623,18301040,6529663,16601736,269763,68,671191,TJ gross
2000,4878423,2686314,19830134,6651452,17209938,271693,62,598620,TJ gross
2001,4702060,2752176,19396960,6587734,17304994,265466,720,501723,TJ gross
2002,4731481,2926636,19324393,6703830,17682457,349324,1298,421969,TJ gross
2003,4834528,3135052,19579554,7165302,18517731,357926,2205,251519,TJ gross
2004,5221633,3289134,19925889,7337507,18472650,379271,2117,238931,TJ gross
2005,5617378,3446743,20087313,7332140,18490832,370523,1213,255355,TJ gross
2006,5446413,3500072,20815047,7457925,18326779,402828,1699,419735,TJ gross
2007,5795317,3771836,21343691,7783187,18755943,436200,1618,478651,TJ gross
2008,5771501,4066337,21972912,8077614,19311188,426278,973,234778,TJ gross
2009,6017642,3648199,20065150,7836888,19146271,421438,1738,138354,TJ gross
2010,6562507,4157539,23198544,8160165,19995189,384396,796,159924,TJ gross
2011,7157432,4355488,23983231,8071444,19599880,385287,2306,144566,TJ gross
2012,7351255,4210787,24715693,7911753,18798507,405513,2551,138068,TJ gross
2013,7352722,4461993,24967240,8528259,20079092,436273,2233,133025,TJ gross
2014,7365470,4519679,25314115,8474145,19712461,420936,2744,138168,TJ gross
2015,7421617,4588318,25314220,8476287,19721937,436308,4489,161015,TJ gross
2016,7754536,4804846,25764952,8406840,20298840,468026,2550,286715,TJ gross
2017,8422262,4960303,26542566,8625570,20868986,478454,2071,288320,TJ gross
2018,8683698,5342482,27728254,9326120,22264918,484472,2285,308561,TJ gross
2019,8881837,5598291,28753052,9566362,22465267,523255,2284,275051,TJ gross
2020,8217297,5307545,29063458,8885044,22470153,549861,2972,332540,TJ gross
2021,8509893,5777664,31506115,9438769,23403884,621207,3016,296621,TJ gross
2022,8329297,5746692,31379757,9494912,22815100,592249,3518,275691,TJ gross
