Source: IEA World Energy Balances https://www.iea.org/data-and-statistics/data-product/world-energy-statistics-and-balances
This data is released under a CC BY 4.0 licence: https://www.iea.org/terms/creative-commons-cc-licenses

,Non-energy use,Transport Sector,Industry Sector,Commercial and Public Services,Residential,Agriculture/Forestry,Fishing,Non-specified (Other),Units
1990,19959212,66072815,75210922,18703045,60801173,6848498,260064,10794442,TJ
1991,20571248,66602755,74888974,19238425,61943684,6963982,267742,10924386,TJ
1992,20944305,68036330,73468000,18690075,62016634,6674455,278436,10372688,TJ
1993,20510200,68719308,72654995,19773013,68047717,6915562,259920,5222083,TJ
1994,21213662,70082912,72499885,20298218,67201290,7060248,262302,4716499,TJ
1995,22093037,71977046,74834629,20854508,68592121,7273306,260297,3609831,TJ
1996,22887041,74832506,74022950,22065647,69879037,6682956,273100,3332757,TJ
1997,24130314,75896260,74756136,22113334,69793354,7230019,267750,3229268,TJ
1998,23823835,77671818,74744910,22142218,69094910,7128007,247587,3107747,TJ
1999,24600573,79899178,74752866,23112045,70278028,7114598,238139,3256173,TJ
2000,25886188,82306625,77990161,23019943,70821852,6174540,262171,3193263,TJ
2001,26057214,82760689,77930847,23400920,71226993,6236582,268071,3243913,TJ
2002,26947244,85000456,78175964,23860122,71573361,6429838,265059,3854333,TJ
2003,27957264,86846164,81513607,24922653,73290263,6515154,321477,4078827,TJ
2004,29730464,90864222,87653216,25802049,73890669,6941520,331576,4168178,TJ
2005,30226391,92984555,93452110,26868549,74201974,7292414,341545,4153573,TJ
2006,31055264,95287175,97923134,27294468,74385892,7443906,317409,4411126,TJ
2007,31968084,98569184,101804148,28324978,74562985,7481361,322535,4467969,TJ
2008,30971998,99137350,102910652,29300041,75328257,7464534,296881,4692216,TJ
2009,31459009,97405399,100383810,29074747,75148217,7369061,313458,4312163,TJ
2010,33249432,101760266,110397877,30023710,77229633,7630013,330327,4421983,TJ
2011,33346283,103478680,113972035,29873369,76523196,7969501,314952,4459283,TJ
2012,34468919,104468308,115653791,30176972,76004973,7999616,320625,4811883,TJ
2013,34594858,107379111,116213466,31280194,78069713,8003836,315729,5138394,TJ
2014,36124458,109272227,117902831,31179967,77708980,8063147,317230,5358589,TJ
2015,36216790,112710044,116662727,31731369,77959897,8206538,318348,5554237,TJ
2016,36848651,115067493,116366740,32227039,78861520,8378387,300901,5987493,TJ
2017,38414563,117868694,117250831,32720798,80492839,8731907,316067,6174262,TJ
2018,39174349,120935399,119658354,33520453,82918347,8907863,327810,5914684,TJ
2019,39822211,121584529,120582476,33841193,82782689,8890095,334134,5820290,TJ
2020,39718676,104631469,120741231,31860635,83596839,8835665,329969,5969414,TJ
2021,41427840,112913227,126965457,33676256,85605097,9135950,328105,5877782,TJ
2022,40675043,117333228,128290465,33721848,85631201,9302867,318175,6584580,TJ
